Date and time,Mode,Distance,Duration,Price
2022-08-01 17:31,Bus,1.3,0.04,1.0
2022-03-15 09:22,Bus,4.0,0.14,1.0
2022-05-06 15:24,Bus,1.3,0.04,1.0
2022-02-19 21:09,Bus,2.1,0.09,1.0
2022-12-20 11:23,Bus,2.4,0.09,1.0
2022-11-29 19:51,Bus,1.0,0.04,1.0
2022-10-22 10:37,Bus,1.1,0.04,1.0
2022-05-09 15:42,Bus,1.3,0.06,1.0
2022-12-23 22:17,Bus,1.0,0.04,1.0
2022-02-01 23:25,Bus,0.6,0.03,1.0
2022-12-25 10:07,Bus,0.9,0.03,1.0
2022-05-20 09:23,Bus,0.5,0.02,1.0
2022-07-18 18:09,Bus,1.7,0.08,1.0
2022-01-08 23:16,Bus,1.5,0.06,1.0
2022-03-17 17:51,Bus,0.5,0.02,1.0
2022-11-21 17:29,Bus,1.0,0.04,1.0
2022-09-29 21:06,Bus,2.5,0.1,1.0
2022-10-31 16:38,Bus,1.0,0.04,1.0
2022-10-30 16:21,Bus,1.3,0.05,1.0
2022-10-08 11:37,Bus,2.8,0.09,1.0
2022-02-12 13:12,Bus,0.5,0.02,1.0
2022-12-23 22:36,Bus,2.0,0.08,1.0
2022-02-09 17:44,Bus,0.7,0.03,1.0
2022-09-29 21:41,Bus,1.2,0.04,1.0
2022-05-03 15:42,Bus,1.8,0.06,1.0
2022-01-28 10:43,Bus,1.2,0.04,1.0
2022-06-14 15:04,Bus,1.0,0.04,1.0
2022-04-16 09:20,Bus,1.0,0.05,1.0
2022-08-17 17:16,Bus,2.3,0.12,1.0
2022-10-27 18:03,Bus,0.6,0.02,1.0
2022-01-16 15:29,Bus,1.3,0.06,1.0
2022-10-08 14:30,Bus,3.0,0.1,1.0
2022-01-22 16:40,Bus,3.3,0.11,1.0
2022-06-25 21:33,Bus,0.9,0.04,1.0
2022-01-15 21:02,Bus,1.3,0.05,1.0
2022-12-26 20:10,Bus,0.5,0.02,1.0
2022-01-27 07:31,Bus,0.9,0.03,1.0
2022-05-06 13:15,Bus,1.3,0.06,1.0
2022-12-27 18:12,Bus,2.5,0.1,1.0
2022-10-03 14:38,Bus,0.7,0.03,1.0
2022-12-07 20:25,Bus,1.4,0.05,1.0
2022-10-22 14:02,Bus,1.1,0.05,1.0
2022-04-08 14:04,Bus,1.8,0.06,1.0
2022-03-28 11:33,Bus,2.0,0.1,1.0
2022-03-28 09:35,Bus,2.7,0.12,1.0
2022-08-12 09:07,Bus,1.0,0.04,1.0
2022-11-21 19:54,Bus,2.2,0.07,1.0
2022-02-28 08:17,Bus,0.8,0.06,1.0
2022-01-27 18:55,Bus,1.1,0.06,1.0
2022-08-02 17:18,Bus,3.2,0.13,1.0
2022-03-01 19:50,Bus,0.9,0.04,1.0
2022-01-28 20:55,Bus,2.0,0.08,1.0
2022-09-29 17:53,Bus,2.9,0.16,1.0
2022-04-20 20:31,Bus,2.5,0.09,1.0
2022-08-16 10:31,Bus,1.2,0.04,1.0
2022-10-26 18:02,Bus,0.9,0.03,1.0
2022-02-15 20:22,Bus,1.5,0.07,1.0
2022-04-02 18:13,Bus,0.6,0.02,1.0
2022-12-13 08:33,Bus,0.7,0.03,1.0
2022-06-18 21:35,Bus,1.9,0.06,1.0
2022-03-01 08:20,Bus,0.5,0.03,1.0
2022-06-23 17:33,Bus,0.9,0.04,1.0
2022-06-17 18:34,Bus,1.8,0.08,1.0
2022-03-11 20:59,Bus,1.2,0.04,1.0
2022-08-15 19:05,Bus,1.2,0.04,1.0
2022-08-18 08:15,Bus,3.0,0.15,1.0
2022-04-02 12:11,Bus,2.0,0.08,1.0
2022-08-25 06:45,Bus,5.5,0.19,1.0
2022-12-08 19:44,Bus,2.7,0.11,1.0
2022-05-19 10:34,Bus,0.4,0.02,1.0
2022-03-30 12:07,Bus,2.4,0.1,1.0
2022-01-07 07:36,Bus,2.3,0.08,1.0
2022-03-14 08:08,Bus,1.2,0.05,1.0
2022-08-28 13:59,Bus,2.7,0.15,1.0
2022-08-02 07:05,Bus,0.7,0.03,1.0
2022-06-17 09:29,Bus,0.8,0.04,1.0
2022-09-06 11:57,Bus,1.1,0.04,1.0
2022-07-15 11:26,Bus,1.5,0.06,1.0
2022-10-30 18:21,Bus,0.3,0.02,1.0
2022-12-15 08:14,Bus,0.6,0.04,1.0
2022-09-19 07:34,Bus,1.7,0.09,1.0
2022-04-30 13:22,Bus,5.5,0.21,1.0
2022-03-29 19:44,Bus,3.4,0.16,1.0
2022-07-11 09:53,Bus,0.5,0.02,1.0
2022-11-17 18:42,Bus,1.6,0.06,1.0
2022-12-06 11:45,Bus,2.1,0.07,1.0
2022-08-31 14:10,Bus,0.4,0.01,1.0
2022-12-15 08:53,Bus,0.5,0.03,1.0
2022-10-08 18:54,Bus,1.9,0.08,1.0
2022-10-17 19:24,Bus,1.2,0.04,1.0
2022-10-14 19:08,Bus,2.7,0.12,1.0
2022-04-04 18:57,Bus,0.8,0.03,1.0
2022-02-03 08:43,Bus,0.3,0.01,1.0
2022-07-16 11:40,Bus,2.0,0.08,1.0
2022-06-10 18:28,Bus,3.4,0.13,1.0
2022-04-02 23:24,Bus,1.0,0.04,1.0
2022-06-21 22:31,Bus,1.0,0.04,1.0
2022-03-22 22:33,Bus,2.8,0.1,1.0
2022-02-09 20:22,Bus,1.0,0.03,1.0
2022-01-21 21:14,Bus,0.9,0.04,1.0
2022-07-28 13:53,Bus,1.3,0.05,1.0
2022-10-20 21:58,Bus,1.0,0.05,1.0
2022-02-04 19:20,Bus,2.7,0.12,1.0
